age_bin,cohort,sex_label,mean_hours
18-21,Older Millennials,Men,4.563803774895904
18-21,Older Millennials,Women,4.232813140253472
18-21,Younger Millennials,Men,4.558532053617523
18-21,Younger Millennials,Women,4.1808774488724865
22-25,Older Millennials,Men,4.075839114601181
22-25,Older Millennials,Women,3.9095725879725998
22-25,Younger Millennials,Men,3.960012156156396
22-25,Younger Millennials,Women,3.875426354550471
26-30,Older Millennials,Men,3.8217935389287825
26-30,Older Millennials,Women,3.4280769808908675
26-30,Younger Gen X,Men,3.7870347770353523
26-30,Younger Gen X,Women,3.5874206597531066
26-30,Younger Millennials,Men,3.7721598941970083
26-30,Younger Millennials,Women,3.3370962397748385
31-35,Older Millennials,Men,3.9132192502811827
31-35,Older Millennials,Women,3.085617772086721
31-35,Younger Gen X,Men,3.8568506925181443
31-35,Younger Gen X,Women,3.368733697711179
36-40,Older Gen X,Men,3.8000682578572325
36-40,Older Gen X,Women,3.3755930739250766
36-40,Older Millennials,Men,3.26352890952743
36-40,Older Millennials,Women,3.1103345093703587
36-40,Younger Gen X,Men,3.6077265980415
36-40,Younger Gen X,Women,3.2242816745179677
41-45,Older Gen X,Men,3.686028651259742
41-45,Older Gen X,Women,3.2541615185867556
41-45,Younger Gen X,Men,3.5708627239682524
41-45,Younger Gen X,Women,3.238120159791316
46-50,Older Gen X,Men,3.740625191838959
46-50,Older Gen X,Women,3.321978499765291
51-55,Older Gen X,Men,3.7328683350659237
51-55,Older Gen X,Women,3.723334958316295
